week,stocks_kt,grindings_weekly_kt,ir,price,spike_component
0,214.68828143722516,42.93765628744503,5.0,4906.517131684575,0.0
1,225.25420769679135,44.642739384038,5.045707561963165,4747.989362205399,0.0
2,218.02195393999958,44.600418764986564,4.888338719168195,4396.835380495991,0.0
3,226.9342870906815,45.34825483443938,5.004256236964118,4758.766720183888,0.0
4,227.2486811265022,44.167009171771475,5.145213257313877,4233.583096436266,0.0
5,221.59824187430561,45.70730778381771,4.848201581296386,4391.804516812062,0.0
6,216.6592647845378,46.519073726729744,4.657428607828146,4019.8571430914576,0.0
7,212.00239978597853,45.2331439915027,4.686881810068395,4517.933387689773,0.0
8,211.6506418585086,45.5276346125988,4.6488389669148065,4411.739453991435,0.0
9,209.92971810220425,45.0797330213668,4.656853624281719,3953.3353874917407,0.0
10,204.26418880337084,45.00012658963712,4.53919142641723,4413.620589042766,0.0
11,205.75097377686242,43.91766294968573,4.684925379854138,4349.571718340921,0.0
12,218.78109126630943,45.47474139250996,4.811046408772857,5003.754822782445,0.0
13,216.49353484430807,44.854070102379765,4.826619621143854,4649.285719363033,0.0
14,240.7424353529362,48.139752463395894,5.0009072135547425,4276.32950182471,0.0
15,240.16302709817754,47.36003235371287,5.071006398485907,4336.6702579219445,0.0
16,225.1583179011374,45.57876982883475,4.9399823370988445,4306.629086981433,0.0
17,219.14969220133764,43.855414185457846,4.997095484598255,4204.775271757759,0.0
18,210.3023766371169,43.331382792024876,4.853350229935957,3961.1261847197984,0.0
19,233.4431195705868,46.7867144296333,4.9895172682339695,4224.567603493303,0.0
20,226.16908894947395,45.394123837720706,4.982342863539013,4030.2672132342545,0.0
21,226.55021403669636,45.72021510508742,4.955143223101054,3878.6160536914967,0.0
22,205.742482107017,42.38312101953871,4.8543494947474315,4499.399533628053,0.0
23,233.90886612669723,46.39115772233727,5.042100210706113,4395.318461608224,0.0
24,229.2147888129188,45.68163050732154,5.017657782074609,3698.9212899234058,0.0
25,214.62980636899377,43.334353973378285,4.9528788752879045,4245.480260596521,0.0
26,217.09951264199825,44.29271278882508,4.901472476456033,4660.568395998472,0.0
27,226.26401907632098,45.39557580653478,4.984274679995354,4655.821701378715,0.0
28,227.17695182371764,45.07870019753437,5.039563049250106,4625.042181927282,0.0
29,227.27763729350517,44.56174322129467,5.100286049512,4255.784682904913,0.0
30,231.48423359909972,44.84476759790106,5.161900618477823,3948.5556814128163,0.0
31,244.4524752958318,44.622033932689675,5.4782907400540575,3796.6475431608746,0.0
32,244.3705276915346,45.2288437681537,5.402979765394743,4275.763196864541,0.0
33,250.86180996431747,47.20723795948974,5.314053963072171,4311.610812338902,0.0
34,213.26267274352728,41.150012338603055,5.182566434942824,4676.497715267051,0.0
35,235.25476713202124,44.644724603235474,5.269486355280865,4580.6108543433875,0.0
36,245.82153399924226,45.26476863205867,5.430747608530572,4108.723956096486,0.0
37,245.43086456240778,45.44399098453065,5.400733061626423,3765.93563671672,0.0
38,233.88503653841377,44.44212812801806,5.262687598233251,4090.825387195098,0.0
39,217.3801010807734,42.364917326282125,5.1311347879325675,4307.780518321189,0.0
40,237.68609593004194,45.491993225571164,5.224789662468296,4139.560147765132,0.0
41,253.6379922214397,47.59102532124628,5.329534098274763,3989.850590067592,0.0
42,230.62359763699334,42.69920789262579,5.401121215572299,4244.990759982734,0.0
43,244.8702684302657,46.29574202054728,5.289261123011826,4023.8545432915093,0.0
44,236.5739688037978,44.50721216531566,5.31540748778148,3977.436951509429,0.0
45,239.0654805917567,44.90801348125673,5.323448134519144,4285.716104926197,0.0
46,232.15060049136883,43.420652233944075,5.346547979992922,4042.0465767797423,0.0
47,243.26632303372526,44.498315741466186,5.466865857285362,4225.042701432153,0.0
48,257.586810088289,46.95006689204844,5.486399213883003,4229.92845564799,0.0
49,255.6852618147482,45.87398286298156,5.573644271927297,3758.5712206456947,0.0
50,264.96028659680303,47.598467408114914,5.5665718041928125,3963.4078958176515,0.0
51,261.56021079071496,46.76611783346654,5.592942559870526,4614.027138249113,0.0
52,258.8774700371407,45.65863001839436,5.669847516950191,3731.2646152453826,0.0
53,258.610472458224,47.61590178925169,5.431178718463336,3505.4963932698765,0.0
54,245.1994529672756,45.65848973810745,5.370292674455841,5096.094039719323,0.35
55,244.55664200186715,46.24198226519559,5.2886279960782465,5735.878904793302,0.31181455134911873
56,230.9799896600879,44.55514356969794,5.184137478959398,5583.000196566503,0.27779518409443493
57,231.69319368459185,45.09981872378881,5.137342016906613,5369.307612003506,0.24748737341529164
58,235.48119944491106,43.95386426504958,5.357462953084574,5730.747728515407,0.22048618373160278
59,242.50268566576378,46.48437590189228,5.216864397138051,4136.639197362076,0.19643085845414027
60,231.53622511660288,43.2325445653277,5.355600218412632,5129.54116233638,0.175
61,235.1387593025615,46.173525513626494,5.0925017461178825,5621.102975637902,0.1559072756745594
62,225.33604999243218,44.71402341374226,5.03949393923648,4473.175561904432,0.13889759204721747
63,236.71704142043004,46.75687064020098,5.062722080825137,4669.92889463148,0.12374368670764582
64,237.4939013933861,46.12630348309689,5.148773768104275,4445.330693765119,0.11024309186580139
65,250.6350589465104,47.7309692364702,5.2509945420300745,4313.306037046763,0.09821542922707015
66,247.18913811666752,46.096162036707966,5.362466791049161,4434.035755055596,0.0875
67,225.9717494679678,42.64193961652014,5.299284026480421,5073.676530027274,0.0779536378372797
68,234.41853412846547,44.8995702406527,5.220952736786323,5224.970291538644,0.06944879602360873
69,231.04283641011634,43.24198921110778,5.343020536871307,4323.777837204414,0.06187184335382292
70,234.55808117185984,44.22258023645059,5.304034272032926,5150.71431549511,0.05512154593290071
71,241.22918143566702,47.266842649915084,5.10356029537125,4467.788372442186,0.04910771461353507
72,226.58572101508673,45.95630071634655,4.93046040440959,5162.223879518971,0.043750000000000004
73,210.73162583195057,43.95160435713188,4.79462874937706,4478.005502739254,0.038976818918639855
74,211.97801820316917,43.4794239503394,4.875363998503813,4511.622961852885,0.03472439801180437
75,220.76198359666276,45.04917313931439,4.900466938959283,4570.993314603999,0.030935921676911456
76,216.1791360633461,43.17515977592831,5.00702573390067,5661.045799025208,0.027560772966450355
77,217.4468231018104,43.99328958390513,4.94272706493317,4707.1040035591905,0.024553857306767544
78,225.89537974902498,45.46801420732687,4.968226206646682,4046.959678684122,0.0
79,236.60985749559208,46.73296805416005,5.063017979542382,4596.447536937097,0.0
80,230.24180314392754,45.91314220833666,5.0147254591980746,4146.402116365545,0.0
81,211.25674974116498,41.563065737102846,5.082799981055744,4084.5036832538176,0.0
